datetime,close,proba_up,signal,jst,close_future,y_up,signal_calc,hit,ret,eq
2025-09-01 05:39:00+00:00,146.923004,0.415777,SELL,2025-09-01 14:39:00+09:00,146.929001,1.0,SELL,0,-8.16533483665508e-05,-8.16533483665508e-05
2025-09-01 05:40:00+00:00,146.917007,0.413602,SELL,2025-09-01 14:40:00+09:00,146.962006,1.0,SELL,0,-0.0003470341697118939,-0.0004286875180784447
2025-09-01 05:41:00+00:00,146.919998,0.41888,SELL,2025-09-01 14:41:00+09:00,146.966003,1.0,SELL,0,-0.0003538701312956044,-0.000782557649374049
2025-09-01 06:06:00+00:00,146.845993,0.384989,SELL,2025-09-01 15:06:00+09:00,146.858994,1.0,SELL,0,-0.00012938622751015638,-0.0009119438768842054
2025-09-01 06:08:00+00:00,146.839005,0.40967,SELL,2025-09-01 15:08:00+09:00,146.901993,1.0,SELL,0,-0.0004696367445306443,-0.0013815806214148496
2025-09-01 06:19:00+00:00,146.919006,0.622871,BUY,2025-09-01 15:19:00+09:00,146.893997,0.0,BUY,0,-0.00021106186901357653,-0.0015926424904284262
2025-09-01 07:39:00+00:00,147.177994,0.583512,BUY,2025-09-01 16:39:00+09:00,147.147995,0.0,BUY,0,-0.0002445949901994472,-0.0018372374806278732
2025-09-01 07:40:00+00:00,147.186005,0.581918,BUY,2025-09-01 16:40:00+09:00,147.151001,0.0,BUY,0,-0.0002785862691223892,-0.0021158237497502625
2025-09-01 07:59:00+00:00,147.065994,0.419552,SELL,2025-09-01 16:59:00+09:00,147.136993,1.0,SELL,0,-0.0005233347171772297,-0.0026391584669274923
2025-09-01 08:00:00+00:00,147.063004,0.414277,SELL,2025-09-01 17:00:00+09:00,147.141998,1.0,SELL,0,-0.0005776544019987115,-0.003216812868926204
